10	1.54	0.076	4667.6	3.88889	180.5
20	1.778	0.132	6463.2	5.11111	213
30	1.988	0.148	7031.2	4.8	225.4
40	2.204	0.162	7519.6	4.8	240.8
50	2.276	0.134	6603.2	3	248
60	2.477	0.088	5440	2.2	263.5
70	2.498	0.158	7342.4	3.7	266.3
80	2.823	0.186	7791.6	3.3	287.9
90	2.915	0.194	7966	3.7	295.3
100	3.038	0.176	7372.4	3	303.5
110	3.237	0.246	8996	3.8	317.9
120	3.463	0.19	7654.8	2.8	331.4
130	3.625	0.166	6979.6	2.5	342.2
140	3.823	0.362	11467.2	5	354.6
150	3.922	0.296	9785.6	4.2	361.1
160	4.094	0.314	10080	4	372.9
170	4.431	0.298	10076.4	3.3	390.3
180	4.507	0.438	13628.4	5	396.7
190	4.898	0.33	11194.4	3.5	414.9
200	4.915	0.384	12756	4	420.7
210	5.1	0.3	10483.6	3.2	431.4
220	5.443	0.426	13523.2	3.8	447.5
230	5.469	0.328	10982.4	2.8	452.8
240	5.868	0.336	11196.4	3	469.7
250	5.973	0.474	14254	3.8	476.4
