10	1.547	0.148	6287.6	10.8889	180.5
20	1.855	0.182	7450	10.1	213
30	1.997	0.202	7929.6	10.8	225.4
40	2.217	0.228	8639.2	9.8	240.8
50	2.276	0.224	8771.2	8.8	248
60	2.486	0.254	9378.4	9.9	263.5
70	2.494	0.252	9343.6	9.7	266.3
80	2.819	0.274	9930	8.2	287.9
90	2.919	0.294	10081.2	9.4	295.3
100	3.035	0.306	10280.8	8.9	303.5
110	3.244	0.322	10602	9.3	317.9
120	3.468	0.344	10966.4	8.3	331.4
130	3.642	0.36	11199.2	7.6	342.2
140	3.844	0.382	11522.8	8.5	354.6
150	3.912	0.394	11631.2	8.9	361.1
160	4.097	0.42	11944.8	9.2	372.9
170	4.403	0.458	13176.4	8.8	390.3
180	4.511	0.468	13755.2	8.6	396.7
190	4.891	0.512	14895.2	9	414.9
200	4.917	0.518	15207.2	8.3	420.7
210	5.117	0.532	15687.6	8.5	431.4
220	5.433	0.574	16258.4	8.6	447.5
230	5.503	0.57	16258.8	8.1	452.8
240	5.869	0.626	16904.8	8.1	469.7
250	5.989	0.626	17118.8	7.9	476.4
