10	0.127	0	2749.6	5.25	27.6
20	0.205	0.002	3230	4.6	40.4
30	0.27	0.008	3298.8	3.9	52.1
40	0.308	0.012	3527.6	4.3	63.1
50	0.391	0.018	3447.6	2.8	74.8
60	0.556	0.03	3761.6	3	86.4
70	0.699	0.058	4467.2	4	100.1
80	0.831	0.056	4407.2	3.3	110.6
90	0.933	0.072	4684.8	3.5	121.2
100	1.123	0.092	5228.4	3.3	133.2
