10	0.170	0	3176	10	33
10	0.140	0	3180	12	30
10	0.140	0	3172	10	28
10	0.130	0	3040	8	26
10	0.140	0	3184	14	30
10	0.160	0	3196	10	33
10	0.170	0	3176	11	33
10	0.140	0	3040	13	29
10	0.170	0	3176	14	34
10	0.160	0	3172	11	31
20	0.200	0	3324	11	40
20	0.240	0.02	3476	14	47
20	0.230	0.02	3344	8	44
20	0.210	0	3320	9	41
20	0.220	0.02	3348	11	43
20	0.140	0	3184	13	36
20	0.210	0	3320	7	42
20	0.190	0	3324	19	40
20	0.220	0	3316	6	40
20	0.190	0	3332	15	39
30	0.230	0	3324	10	52
30	0.240	0.02	3320	6	48
30	0.300	0.02	3612	9	55
30	0.310	0.02	3624	10	56
30	0.300	0.02	3628	13	56
30	0.290	0.02	3512	10	54
30	0.280	0.02	3504	10	52
30	0.310	0.02	3592	8	57
30	0.290	0.02	3488	6	52
30	0.250	0	3324	9	48
40	0.350	0.02	3720	8	63
40	0.090	0	2904	Fail	64
40	0.410	0.02	3920	11	68
40	0.380	0.04	3924	6	67
40	0.340	0.02	3792	12	62
40	0.380	0.04	3904	10	66
40	0.370	0.02	3888	8	67
40	0.060	0	2904	Fail	61
40	0.360	0.02	3736	6	65
40	0.340	0.02	3780	10	63
50	0.510	0.04	4148	11	79
50	0.480	0.04	4104	8	79
50	0.090	0	2904	Fail	78
50	0.080	0	2904	Fail	72
50	0.460	0.04	4064	11	77
50	0.430	0.04	4008	8	74
50	0.450	0.04	4004	6	74
50	0.500	0.04	4004	6	79
50	0.420	0.04	3884	12	73
50	0.470	0.04	4080	12	76
60	0.560	0.06	4412	13	87
60	0.530	0.04	4180	9	83
60	0.540	0.06	4304	26	86
60	0.630	0.06	4712	6	92
60	0.560	0.06	4388	6	87
60	0.540	0.04	4128	10	84
60	0.580	0.06	4556	8	90
60	0.600	0.06	4552	10	89
60	0.620	0.06	4700	8	90
60	0.590	0.04	4628	8	90
70	0.800	0.1	5108	10	108
70	0.710	0.08	4916	6	102
70	0.710	0.08	4924	10	101
70	0.710	0.08	4852	9	101
70	0.680	0.08	4840	6	97
70	0.660	0.06	4764	6	97
70	0.690	0.08	4864	6	100
70	0.720	0.08	4968	8	103
70	0.720	0.08	4936	13	102
70	0.730	0.08	5032	8	104
80	0.860	0.1	5156	6	113
80	0.760	0.08	4964	6	108
80	0.880	0.08	5136	6	116
80	0.780	0.08	5012	8	107
80	0.820	0.08	5016	10	108
80	0.870	0.1	5136	15	114
80	0.800	0.08	5004	10	108
80	0.870	0.1	5132	8	113
80	0.910	0.1	5144	12	115
80	0.860	0.1	5112	14	112
90	0.970	0.12	5340	12	121
90	1.050	0.12	5980	8	126
90	1.000	0.12	5500	10	123
90	1.050	0.14	6092	10	127
90	1.040	0.12	5960	10	125
90	0.950	0.1	5284	10	121
90	0.930	0.1	5236	9	118
90	0.940	0.1	5272	10	120
90	0.550	0.04	4152	10	119
90	1.050	0.12	6052	7	126
100	1.230	0.14	6484	9	137
100	1.190	0.14	6564	8	137
100	1.150	0.14	6464	6	137
100	1.270	0.2	6720	19	141
100	1.020	0.12	5712	9	128
100	1.150	0.14	6384	8	134
100	1.100	0.12	6324	6	132
100	1.010	0.12	5692	12	128
100	1.120	0.14	6348	6	132
100	1.140	0.14	6388	6	134
