10	0.340	0.08	3764	18	64
10	0.300	0.04	3648	16	59
10	0.430	0.12	3884	18	71
10	0.320	0.1	3664	19	61
10	0.400	0.12	3936	20	68
10	0.260	0	2904	Fail	73
10	0.420	0.12	4088	22	73
10	0.370	0.06	3804	16	67
10	0.360	0.16	3916	22	67
10	0.350	0.06	3748	17	64
20	0.440	0.1	3928	14	77
20	0.410	0.14	3912	21	76
20	0.380	0.12	3920	19	72
20	0.460	0.1	3992	15	80
20	0.530	0.1	4160	19	85
20	0.480	0.34	4156	21	83
20	0.470	0.18	4008	18	81
20	0.390	0.12	3868	19	72
20	0.420	0.06	3892	14	75
20	0.500	0.14	4036	18	82
30	0.500	0.04	4184	9	87
30	0.490	0.08	4164	15	87
30	0.480	0.08	4028	14	85
30	0.580	0.16	4416	16	97
30	0.560	0.12	4592	17	94
30	0.570	0.06	4392	11	95
30	0.610	0.1	4692	15	96
30	0.530	0.18	4344	16	87
30	0.520	0.1	4192	15	90
30	0.510	0.06	4352	13	89
40	0.570	0.06	4340	9	97
40	0.620	0.22	4796	18	104
40	0.550	0.28	4344	20	96
40	0.620	0.24	4616	20	101
40	0.580	0.06	4428	9	100
40	0.520	0.2	4192	17	92
40	0.560	0.2	4392	18	97
40	0.660	0.08	5008	11	107
40	0.630	0.18	4828	16	103
40	0.650	0.12	4828	14	106
50	0.650	0.08	4808	10	108
50	0.720	0.18	4944	16	115
50	0.740	0.18	4896	17	118
50	0.730	0.12	4992	13	116
50	0.660	0.08	4748	11	112
50	0.670	0.2	4744	15	109
50	0.760	0.18	5048	16	120
50	0.670	0.08	4732	11	109
50	0.620	0.06	4628	12	105
50	0.780	0.1	5064	10	120
60	0.730	0.08	4992	10	120
60	0.800	0.18	5104	16	125
60	0.880	0.2	5196	15	131
60	0.850	0.1	5392	13	129
60	0.750	0.1	4868	11	120
60	0.780	0.12	5084	13	123
60	0.850	0.26	5208	16	126
60	0.750	0.1	4892	12	120
60	0.790	0.12	5080	13	125
60	0.790	0.12	5160	13	123
70	0.870	0.12	5208	10	132
70	0.760	0.14	5052	15	127
70	1.050	0.24	5588	15	146
70	0.930	0.18	5308	14	138
70	0.870	0.3	5188	16	131
70	0.880	0.22	5144	15	136
70	0.910	0.14	5348	14	136
70	0.990	0.24	5424	14	142
70	0.910	0.32	5368	16	135
70	0.890	0.14	5216	13	133
80	0.990	0.1	5588	7	144
80	0.900	0.32	5344	16	140
80	1.130	0.18	6016	12	157
80	0.910	0.16	5312	13	138
80	1.020	0.5	5596	17	148
80	1.030	0.16	5552	12	145
80	0.950	0.18	5492	14	143
80	1.000	0.14	5436	11	145
80	1.120	0.24	5852	16	152
80	1.140	0.22	6824	14	156
90	1.130	0.12	5828	7	156
90	1.070	0.18	5684	14	155
90	1.240	0.22	6736	14	167
90	1.030	0.16	5556	12	149
90	1.270	0.22	6764	12	166
90	1.150	0.88	6572	18	158
90	1.170	0.26	6620	15	161
90	1.130	0.22	5988	15	157
90	1.230	0.22	6732	14	165
90	1.060	0.14	5636	11	154
100	1.240	0.16	6672	9	169
100	1.190	0.2	6612	13	165
100	1.260	0.16	6736	10	170
100	1.240	0.26	6692	14	166
100	1.350	0.3	6884	14	173
100	1.210	0.2	6728	12	168
100	1.220	0.2	6760	13	167
100	1.170	0.18	6608	11	164
100	1.330	0.24	6876	13	173
100	1.170	0.18	6612	11	165
